month,game,avg_viewers,viewers_gain,viewers_pct_gain,peak_viewers,avg_streams,streams_gain,streams_pct_gain,peak_streams,hours_watched,peak_players,peak_gain,peak_pct_gain,avg_players,avg_pct_gain,trends_score
2021-02-01,among_us,23266.0,-5824.0,-20.0,680624.0,410.0,-163.0,-28.4,3010.0,17300000.0,75822.0,-45683.0,-37.6,,,27.0
2021-03-01,among_us,27017.0,3751.0,16.1,370855.0,484.0,74.0,18.0,4325.0,19400000.0,132544.0,56722.0,74.8,,,23.0
2021-04-01,among_us,14670.0,-12347.0,-45.7,235547.0,277.0,-207.0,-42.8,956.0,10900000.0,97580.0,-34964.0,-26.4,,,21.0
2021-05-01,among_us,10044.0,-4626.0,-31.5,100164.0,243.0,-34.0,-12.3,683.0,7210000.0,28750.0,-68830.0,-70.5,,,17.0
2021-06-01,among_us,5836.0,-4208.0,-41.9,113656.0,183.0,-60.0,-24.7,508.0,4330000.0,22305.0,-6445.0,-22.4,,,15.0
2021-07-01,among_us,7635.0,1799.0,30.8,210907.0,183.0,,,471.0,5680000.0,19634.0,-2671.0,-12.0,,,13.0
2021-08-01,among_us,6581.0,-1054.0,-13.8,108077.0,150.0,-33.0,-18.0,447.0,4720000.0,17635.0,-1999.0,-10.2,,,13.0
2021-09-01,among_us,5284.0,-1297.0,-19.7,98657.0,125.0,-25.0,-16.7,343.0,3910000.0,17005.0,-630.0,-3.6,,,13.0
2021-10-01,among_us,11806.0,6522.0,123.0,408194.0,169.0,44.0,35.2,660.0,8490000.0,14422.0,-2583.0,-15.2,,,13.0
2021-11-01,among_us,7727.0,-4079.0,-34.6,294779.0,213.0,44.0,26.0,647.0,5740000.0,26106.0,11684.0,81.0,,,12.0
2021-12-01,among_us,7199.0,-528.0,-6.8,146728.0,216.0,3.0,1.4,611.0,5350000.0,18881.0,-7225.0,-27.7,,,13.0
2022-01-01,among_us,5056.0,-2143.0,-29.8,92128.0,151.0,-65.0,-30.1,479.0,3370000.0,19519.0,638.0,3.4,,,
2022-02-01,among_us,5736.0,680.0,13.4,168006.0,112.0,-39.0,-25.8,366.0,4200000.0,16171.0,-3348.0,-17.2,,,
2022-03-01,among_us,6268.0,532.0,9.3,130757.0,124.0,12.0,10.7,472.0,4510000.0,12688.0,-3483.0,-21.5,,,
2022-04-01,among_us,6548.0,280.0,4.5,187322.0,112.0,-12.0,-9.7,334.0,4860000.0,17173.0,4485.0,35.3,,,
2022-05-01,among_us,9389.0,2841.0,43.4,193240.0,140.0,28.0,25.0,411.0,6750000.0,13221.0,-3952.0,-23.0,,,
2022-06-01,among_us,6957.0,-2432.0,-25.9,173311.0,142.0,2.0,1.4,391.0,5140000.0,12630.0,-591.0,-4.5,,,
2022-07-01,among_us,6043.0,-914.0,-13.1,256902.0,116.0,-26.0,-18.3,321.0,4500000.0,11125.0,-1505.0,-11.9,,,
2022-08-01,among_us,4410.0,-1633.0,-27.0,101296.0,102.0,-14.0,-12.1,284.0,3150000.0,10925.0,-200.0,-1.8,,,
2022-09-01,among_us,3642.0,-768.0,-17.4,121879.0,99.0,-3.0,-2.9,298.0,2500000.0,12216.0,1291.0,11.8,,,
2022-10-01,among_us,5438.0,1796.0,49.3,205289.0,96.0,-3.0,-3.0,294.0,3910000.0,13700.0,1484.0,12.1,5711.0,,
2022-11-01,among_us,4662.0,-776.0,-14.3,129528.0,114.0,18.0,18.8,461.0,3460000.0,12753.0,-947.0,-6.9,5892.0,3.2,
2022-12-01,among_us,1190.0,-3472.0,-74.5,137769.0,19.0,-95.0,-83.3,290.0,866000.0,19292.0,6539.0,51.3,7300.0,23.9,
2023-01-01,among_us,2923.0,1733.0,146.0,64428.0,75.0,56.0,295.0,297.0,1930000.0,13177.0,-6115.0,-31.7,6534.0,-10.5,
2023-02-01,among_us,3478.0,555.0,19.0,78933.0,89.0,14.0,18.7,291.0,2560000.0,11807.0,-1370.0,-10.4,5075.0,-22.3,
2023-03-01,among_us,3956.0,478.0,13.7,152233.0,91.0,2.0,2.2,273.0,2840000.0,10508.0,-1299.0,-11.0,4638.0,-8.6,
2023-04-01,among_us,3361.0,-595.0,-15.0,90804.0,79.0,-12.0,-13.2,264.0,2500000.0,9745.0,-763.0,-7.3,4400.0,-5.1,
2023-05-01,among_us,3930.0,569.0,16.9,116420.0,87.0,8.0,10.1,247.0,2820000.0,8304.0,-1441.0,-14.8,3951.0,-10.2,
2023-06-01,among_us,3414.0,-516.0,-13.1,85035.0,103.0,16.0,18.4,260.0,2520000.0,8767.0,463.0,5.6,4687.0,18.6,
2023-07-01,among_us,3577.0,163.0,4.8,241472.0,94.0,-9.0,-8.7,257.0,2640000.0,9357.0,590.0,6.7,5261.0,12.2,
2023-08-01,among_us,3360.0,-217.0,-6.1,176156.0,86.0,-8.0,-8.5,259.0,2410000.0,8675.0,-682.0,-7.3,4603.0,-12.5,
2023-09-01,among_us,3004.0,-356.0,-10.6,99679.0,89.0,3.0,3.5,321.0,2220000.0,9938.0,1263.0,14.6,4258.0,-7.5,
2023-10-01,among_us,3385.0,381.0,12.7,98159.0,85.0,-4.0,-4.5,243.0,2430000.0,14090.0,4152.0,41.8,4785.0,12.4,
2023-11-01,among_us,1893.0,-1492.0,-44.1,40437.0,75.0,-10.0,-11.8,292.0,1400000.0,11912.0,-2178.0,-15.5,4675.0,-2.3,
2023-12-01,among_us,3174.0,1281.0,67.7,100405.0,87.0,12.0,16.0,250.0,2320000.0,13271.0,1359.0,11.4,4697.0,0.5,
2024-01-01,among_us,2583.0,-591.0,-18.6,63862.0,80.0,-7.0,-8.0,229.0,1800000.0,11543.0,-1728.0,-13.0,4690.0,-0.1,
2024-02-01,among_us,3019.0,436.0,16.9,97512.0,81.0,1.0,1.3,247.0,2240000.0,9045.0,-2498.0,-21.6,4140.0,-11.7,
2024-03-01,among_us,3931.0,912.0,30.2,67818.0,79.0,-2.0,-2.5,237.0,2810000.0,8683.0,-362.0,-4.0,3955.0,-4.5,
2024-04-01,among_us,2869.0,-1062.0,-27.0,72937.0,71.0,-8.0,-10.1,220.0,2130000.0,9053.0,370.0,4.3,3823.0,-3.3,
2024-05-01,among_us,2767.0,-102.0,-3.6,63180.0,78.0,7.0,9.9,215.0,1990000.0,8009.0,-1044.0,-11.5,3756.0,-1.8,
2024-06-01,among_us,3019.0,252.0,9.1,62319.0,100.0,22.0,28.2,244.0,2240000.0,9699.0,1690.0,21.1,4629.0,23.2,
2024-07-01,among_us,2947.0,-72.0,-2.4,67904.0,91.0,-9.0,-9.0,282.0,2170000.0,10182.0,483.0,5.0,5223.0,12.8,
